
1752318354982:GET: /user

1752318364015:GET: /

1752318396780:GET: /users

1752319685608:GET: /users

1752319695294:GET: /api/users

1752319717151:GET: /api/users/68720fd844fdbb8fbb0835e4

1752319744004:POST: /api/users/

1752319816734:POST: /api/users/

1752319826107:GET: /api/users

1752319848363:PATCH: /api/users/6872119ea2f311f0afb5c428

1752319859285:PATCH: /api/users/6872474888cc909d60c8fee7

1752319865335:GET: /api/users

1752319878023:DELETE: /api/users/6872474888cc909d60c8fee7

1752319883017:GET: /api/users
